Application Number,Nameplate Rating
SD-CSI-13485,6.867
SD-CSI-18826,6.5
SD-CSI-14292,5.886
SD-CSI-07698,3.7
SD-CSI-06349,4.14
SD-CSI-05495,4.3
SD-CSI-21532,4.75
SD-CSI-15742,6.72
SD-CSI-20174,5.5
SD-CSI-10392,6.24
SD-CSI-05285,7.755
SD-CSI-11650,3.22
SD-CSI-16390,6.867
SD-CSI-10917,6.75
SD-CSI-13033,6.867
SD-CSI-08113,1.72
SD-CSI-04088,4.8
SD-CSI-19151,4
SD-CSI-16423,6.5
SD-CSI-01639,5.46
SD-CSI-17545,8.4
SD-CSI-09784,5.04
SD-CSI-16458,6.24
SD-CSI-09879,5.28
SD-CSI-12458,6.867
SD-CSI-17555,7.848
SD-CSI-19141,4.08
SD-CSI-08150,5.712
SD-CSI-14781,7.35
SD-CSI-05311,5.88
SD-CSI-02051,4.752
SD-CSI-15347,9.8
SD-CSI-04987,12.15
SD-CSI-13882,9.36
SD-CSI-08877,2.24
SD-CSI-14712,6.48
SD-CSI-13019,4.578
SD-CSI-04686,10.89
SD-CSI-11706,4.23
SD-CSI-11331,6.075
SD-CSI-03628,4.95
SD-CSI-00568,5.544
SD-CSI-01623,4.2
SD-CSI-09688,9.165
SD-CSI-09046,2.025
SD-CSI-10612,4.6
SD-CSI-15963,7.68
SD-CSI-11428,10.12
SD-CSI-10103,1.645
SD-CSI-22276,19.8
SD-CSI-01977,2.1
SD-CSI-03562,4.62
SD-CSI-05550,5.52
SD-CSI-05951,3.76
SD-CSI-04153,3.36
SD-CSI-07201,2.3
SD-CSI-03224,2.7
SD-CSI-18903,4.25
SD-CSI-15394,9.36
SD-CSI-00008,167.04
SD-CSI-03268,4.875
SD-CSI-13054,3.45
SD-CSI-02768,3.8
SD-CSI-01279,3.584
SD-CSI-04823,39.48
SD-CSI-18550,3.24
SD-CSI-08535,2.53
SD-CSI-09004,5.16
SD-CSI-10511,5.39
SD-CSI-11566,3.6
SD-CSI-02624,3.15
SD-CSI-17338,3.57
SD-CSI-13039,13.08
SD-CSI-11550,3.816
SD-CSI-12065,1.92
SD-CSI-12360,3.92
SD-CSI-16068,9.36
SD-CSI-03455,1.512
SD-CSI-18913,2.5
SD-CSI-15812,3.924
SD-CSI-17998,6.86
SD-CSI-18888,5
SD-CSI-18808,7
SD-CSI-21014,4.25
SD-CSI-21188,6.48
SD-CSI-22278,3.51
SD-CSI-15613,3.84
SD-CSI-13078,4.578
SD-CSI-17593,4
SD-CSI-08932,7.92
SD-CSI-14805,4.165
SD-CSI-12731,7.84
SD-CSI-07804,8.82
SD-CSI-00186,6.88
SD-CSI-03861,1.296
SD-CSI-08987,4.8
SD-CSI-21010,4.75
SD-CSI-00029,8.61
SD-CSI-10528,3.15
SD-CSI-11329,9
SD-CSI-19518,6
SD-CSI-09254,3.01
SD-CSI-14975,4.56
SD-CSI-18937,7
SD-CSI-05743,1.35
SD-CSI-06667,3.43
SD-CSI-10554,5.64
SD-CSI-10142,2.22
SD-CSI-01072,2.28
SD-CSI-01531,6.3
SD-CSI-03134,2.45
SD-CSI-18034,5.886
SD-CSI-18945,3.5
SD-CSI-14398,4.42
SD-CSI-18918,3.43
SD-CSI-18948,3.5
SD-CSI-18569,3.57
SD-CSI-02348,4.025
SD-CSI-17308,4.59
SD-CSI-07475,2.856
SD-CSI-11341,22.29
SD-CSI-10542,4.7
SD-CSI-11020,4.05
SD-CSI-00227,4.2
SD-CSI-18059,4.24
SD-CSI-21458,3.57
SD-CSI-21250,5
SD-CSI-06795,4.465
SD-CSI-10908,4.83
SD-CSI-10207,4.3
SD-CSI-06773,5.75
SD-CSI-02922,5.72
SD-CSI-05064,5.72
SD-CSI-12551,3.68
SD-CSI-12945,5.76
SD-CSI-19166,3.57
SD-CSI-10456,3.2
SD-CSI-11213,4.6
SD-CSI-19477,4.75
SD-CSI-12093,4.8
SD-CSI-01542,4.8
SD-CSI-02738,1.296
SD-CSI-15514,2.45
SD-CSI-02327,3.485
SD-CSI-15504,5.886
SD-CSI-03401,3.01
SD-CSI-06686,7.2
SD-CSI-18098,5.75
SD-CSI-14252,5.886
SD-CSI-07895,1.29
SD-CSI-16949,5.72
SD-CSI-03171,1.512
SD-CSI-15179,2.45
SD-CSI-16952,4.08
SD-CSI-12812,7.35
SD-CSI-03933,2.8
SD-CSI-14509,5.232
SD-CSI-15557,2.94
SD-CSI-18128,8.25
SD-CSI-04821,29.61
SD-CSI-02563,2.2
SD-CSI-04817,55.93
SD-CSI-03585,2.73
SD-CSI-08328,3.6
SD-CSI-21249,4.25
SD-CSI-08799,2.585
SD-CSI-16656,6.25
SD-CSI-15603,4.7
SD-CSI-07597,6.72
SD-CSI-04051,2.25
SD-CSI-08656,3.5
SD-CSI-10980,4.05
SD-CSI-11457,3.18
SD-CSI-06094,1.68
SD-CSI-20649,5.17
SD-CSI-04582,5.85
SD-CSI-01222,7.29
SD-CSI-14587,5.886
SD-CSI-15250,3.43
SD-CSI-03423,1.512
SD-CSI-05162,2.94
SD-CSI-18735,4.59
SD-CSI-11083,2.795
SD-CSI-08545,7.4
SD-CSI-06947,3.5
SD-CSI-12278,7.392
SD-CSI-18348,4.505
SD-CSI-05170,1.505
SD-CSI-12667,5.28
SD-CSI-09732,1.84
SD-CSI-13251,7.848
SD-CSI-15962,4.32
SD-CSI-07632,5.4
SD-CSI-01230,2.28
SD-CSI-11982,6.86
SD-CSI-10967,7.2
SD-CSI-09534,3.36
SD-CSI-20183,1.16
SD-CSI-10972,4.05
SD-CSI-10873,1.84
SD-CSI-08385,2.94
SD-CSI-10971,6.75
SD-CSI-10316,4.62
SD-CSI-14642,7.392
SD-CSI-11990,4.08
SD-CSI-01698,5.7
SD-CSI-10894,3.44
SD-CSI-11259,6.48
SD-CSI-10326,4.9
SD-CSI-02836,5.98
SD-CSI-16358,3.6
SD-CSI-10719,3.29
SD-CSI-04955,1.505
SD-CSI-09653,11.52
SD-CSI-07035,14.7
SD-CSI-11908,6.12
SD-CSI-01719,3.6
SD-CSI-14697,4.165
SD-CSI-21423,4.5
SD-CSI-11280,4.05
SD-CSI-01995,3.5
SD-CSI-06576,2.07
SD-CSI-10049,8.1
SD-CSI-16383,5.28
SD-CSI-12422,5.886
SD-CSI-03807,2.16
SD-CSI-20749,4.16
SD-CSI-02885,3.96
SD-CSI-15366,1.175
SD-CSI-17175,7.245
SD-CSI-22280,8.8
SD-CSI-04348,4.2
SD-CSI-22279,8.7
SD-CSI-12021,3.6
SD-CSI-12597,5.232
SD-CSI-08633,2.24
SD-CSI-06191,16.45
SD-CSI-19834,5
SD-CSI-17530,6.48
SD-CSI-00360,4.862
SD-CSI-21219,5.3
SD-CSI-06184,4.84
SD-CSI-10405,4.7
SD-CSI-12924,20.58
SD-CSI-14941,3.43
SD-CSI-07365,15.128
SD-CSI-19155,4
SD-CSI-10926,4.5
SD-CSI-17205,6.12
SD-CSI-19159,4
SD-CSI-19167,3.5
SD-CSI-01482,3.51
SD-CSI-00987,3.42
SD-CSI-10504,3.84
SD-CSI-08962,3.96
SD-CSI-16451,3.924
SD-CSI-00097,11.2
SD-CSI-13631,6.867
SD-CSI-02655,302.4
SD-CSI-09463,3.876
SD-CSI-20456,2.97
SD-CSI-20342,4.505
SD-MASH-00001,200.86
