,DHI,DNI,Date,GHI,Unnamed: 0,lat,log
144,29.728,175.88299999999998,01/2011,108.34700000000001,0,33.05,-117.15
145,36.287,163.5,02/2011,120.70200000000001,1,33.05,-117.15
146,53.13399999999999,182.77599999999998,03/2011,165.75799999999998,2,33.05,-117.15
147,58.58,180.118,04/2011,182.28599999999997,3,33.05,-117.15
148,70.188,183.5,05/2011,205.50099999999998,4,33.05,-117.15
149,65.687,194.262,06/2011,215.768,5,33.05,-117.15
150,64.167,216.90099999999998,07/2011,230.248,6,33.05,-117.15
151,54.32899999999999,216.308,08/2011,214.229,7,33.05,-117.15
152,52.6,163.768,09/2011,163.116,8,33.05,-117.15
153,42.965,166.017,10/2011,136.231,9,33.05,-117.15
154,33.275999999999996,141.236,11/2011,98.95700000000001,10,33.05,-117.15
155,26.378,176.43900000000002,12/2011,100.046,11,33.05,-117.15
156,26.973000000000003,170.745,01/2012,103.09299999999999,0,33.05,-117.15
157,36.404,153.641,02/2012,116.58200000000001,1,33.05,-117.15
158,48.897,175.45,03/2012,157.999,2,33.05,-117.15
159,55.195,172.00799999999998,04/2012,173.72099999999998,3,33.05,-117.15
160,62.597,192.128,05/2012,208.373,4,33.05,-117.15
161,63.842,196.055,06/2012,216.23,5,33.05,-117.15
162,60.09,205.167,07/2012,217.74099999999999,6,33.05,-117.15
163,54.228,206.601,08/2012,202.52900000000002,7,33.05,-117.15
164,45.89,198.71900000000002,09/2012,177.09400000000002,8,33.05,-117.15
165,43.293,173.987,10/2012,140.923,9,33.05,-117.15
166,30.041999999999998,154.67,11/2012,102.897,10,33.05,-117.15
167,30.434,110.654,12/2012,76.611,11,33.05,-117.15
168,27.179000000000002,169.824,01/2012,100.56299999999999,0,34.05,-117.25
169,33.027,163.653,02/2012,115.789,1,34.05,-117.25
170,46.073,191.00400000000002,03/2012,160.838,2,34.05,-117.25
171,49.657,218.524,04/2012,196.53900000000002,3,34.05,-117.25
172,54.765,242.387,05/2012,227.91,4,34.05,-117.25
173,49.596000000000004,281.466,06/2012,253.68599999999998,5,34.05,-117.25
174,50.568999999999996,262.923,07/2012,241.606,6,34.05,-117.25
175,51.471000000000004,239.518,08/2012,216.87400000000002,7,34.05,-117.25
176,43.657,217.547,09/2012,180.68599999999998,8,34.05,-117.25
177,39.809,196.313,10/2012,145.97899999999998,9,34.05,-117.25
178,28.517,166.919,11/2012,104.59,10,34.05,-117.25
179,27.708000000000002,120.611,12/2012,76.593,11,34.05,-117.25
180,32.018,131.459,01/2008,89.73100000000001,0,34.05,-117.25
181,34.074,157.003,02/2008,113.052,1,34.05,-117.25
182,46.928000000000004,213.524,03/2008,175.851,2,34.05,-117.25
183,54.113,223.19400000000002,04/2008,204.875,3,34.05,-117.25
184,61.696000000000005,209.301,05/2008,212.2,4,34.05,-117.25
185,54.028,268.151,06/2008,249.638,5,34.05,-117.25
186,54.69,265.93,07/2008,248.429,6,34.05,-117.25
187,47.931000000000004,261.635,08/2008,229.185,7,34.05,-117.25
188,39.028,233.74599999999998,09/2008,189.36599999999999,8,34.05,-117.25
189,35.522,212.99900000000002,10/2008,151.844,9,34.05,-117.25
190,30.701,168.857,11/2008,107.822,10,34.05,-117.25
191,25.965999999999998,131.062,12/2008,78.925,11,34.05,-117.25
192,27.968000000000004,168.778,01/2009,101.03200000000001,0,34.05,-117.25
193,37.21,125.35600000000001,02/2009,100.01,1,34.05,-117.25
194,48.785,204.662,03/2009,172.295,2,34.05,-117.25
195,55.13399999999999,209.18400000000003,04/2009,196.092,3,34.05,-117.25
196,62.118,237.592,05/2009,235.87,4,34.05,-117.25
197,71.90100000000001,173.362,06/2009,197.96,5,34.05,-117.25
198,50.568999999999996,280.274,07/2009,252.709,6,34.05,-117.25
199,52.023999999999994,249.19299999999998,08/2009,225.75599999999997,7,34.05,-117.25
200,41.013000000000005,234.449,09/2009,191.207,8,34.05,-117.25
201,36.815,197.054,10/2009,143.497,9,34.05,-117.25
202,28.250999999999998,191.076,11/2009,115.256,10,34.05,-117.25
203,28.445,138.651,12/2009,85.462,11,34.05,-117.25
204,31.228,137.066,01/2010,90.331,0,34.05,-117.25
205,36.765,138.881,02/2010,105.755,1,34.05,-117.25
206,49.434,198.317,03/2010,167.748,2,34.05,-117.25
207,56.565,214.25400000000002,04/2010,201.125,3,34.05,-117.25
208,61.568000000000005,242.88099999999997,05/2010,234.149,4,34.05,-117.25
209,56.004,258.256,06/2010,244.55,5,34.05,-117.25
210,53.626000000000005,263.098,07/2010,244.373,6,34.05,-117.25
211,51.415,259.02,08/2010,229.803,7,34.05,-117.25
212,44.056999999999995,216.59400000000002,09/2010,180.412,8,34.05,-117.25
213,43.023999999999994,134.546,10/2010,117.412,9,34.05,-117.25
