actual,closest
"(32.733499999999999, -117.0337)","(32.75, -117.05)"
"(33.568600000000004, -117.2526)","(33.55, -117.25)"
"(38.017899999999997, -121.905)","(38.05, -121.95)"
"(38.697200000000002, -121.8094)","(38.65, -121.85)"
"(37.926499999999997, -122.3408)","(37.95, -122.35)"
"(37.763000000000005, -122.163)","(37.75, -122.15)"
"(33.796199999999999, -117.0005)","(33.75, -117.05)"
"(36.506100000000004, -119.5459)","(36.55, -119.55)"
"(37.9816, -122.5688)","(37.95, -122.55)"
"(38.035499999999999, -121.3438)","(38.05, -121.35)"
"(37.658900000000003, -121.8715)","(37.65, -121.85)"
"(37.758400000000002, -122.43510000000001)","(37.75, -122.45)"
"(34.1051, -117.2908)","(34.15, -117.25)"
"(38.6813, -121.7419)","(38.65, -121.75)"
"(32.805, -117.1687)","(32.85, -117.15)"
"(33.5319, -117.7025)","(33.55, -117.75)"
"(34.034700000000001, -117.17310000000001)","(34.05, -117.15)"
"(34.063299999999998, -117.16889999999999)","(34.05, -117.15)"
"(33.739600000000003, -117.78619999999999)","(33.75, -117.75)"
"(33.724200000000003, -117.9062)","(33.75, -117.95)"
"(34.161799999999999, -116.41249999999999)","(34.15, -116.45)"
"(32.846800000000002, -116.9898)","(32.85, -116.95)"
"(33.989000000000004, -118.0891)","(33.95, -118.05)"
"(39.154899999999998, -123.2009)","(39.15, -123.25)"
"(37.159999999999997, -121.9881)","(37.15, -121.95)"
"(32.7196, -117.16249999999999)","(32.75, -117.15)"
"(37.436500000000002, -121.8944)","(37.45, -121.85)"
"(33.899900000000002, -118.1623)","(33.85, -118.15)"
"(36.665900000000001, -121.655)","(36.65, -121.65)"
"(32.6387, -117.0669)","(32.65, -117.05)"
"(38.817500000000003, -121.17230000000001)","(38.85, -121.15)"
"(39.746000000000002, -121.8426)","(39.75, -121.85)"
"(37.0169, -121.5658)","(37.05, -121.55)"
"(33.9846, -117.0377)","(33.95, -117.05)"
"(34.3675, -119.0732)","(34.35, -119.05)"
"(36.055100000000003, -119.01600000000001)","(36.05, -119.05)"
"(33.889000000000003, -117.2205)","(33.85, -117.25)"
"(38.8767, -121.1421)","(38.85, -121.15)"
"(36.311, -119.32640000000001)","(36.35, -119.35)"
"(35.640599999999999, -120.7042)","(35.65, -120.75)"
"(36.9148, -120.15819999999999)","(36.95, -120.15)"
"(33.715699999999998, -116.38500000000001)","(33.75, -116.35)"
"(34.190800000000003, -118.837)","(34.15, -118.85)"
"(32.820099999999996, -116.9123)","(32.85, -116.95)"
"(34.874499999999998, -120.4281)","(34.85, -120.45)"
"(35.390700000000002, -119.1858)","(35.35, -119.15)"
"(33.106900000000003, -117.07080000000001)","(33.15, -117.05)"
"(33.878999999999998, -117.89319999999999)","(33.85, -117.85)"
"(38.105200000000004, -122.2457)","(38.15, -122.25)"
"(39.750399999999999, -121.6103)","(39.75, -121.65)"
"(38.162799999999997, -121.1486)","(38.15, -121.15)"
"(35.197699999999998, -119.057)","(35.15, -119.05)"
"(37.809399999999997, -122.2717)","(37.85, -122.25)"
"(34.036099999999998, -117.6086)","(34.05, -117.65)"
"(35.344200000000001, -119.0222)","(35.35, -119.05)"
"(37.724200000000003, -122.4796)","(37.75, -122.45)"
"(33.8078, -116.46469999999999)","(33.85, -116.45)"
"(38.380499999999998, -121.9919)","(38.35, -121.95)"
"(33.923499999999997, -117.8956)","(33.95, -117.85)"
"(33.883299999999998, -117.8545)","(33.85, -117.85)"
"(33.944299999999998, -118.1949)","(33.95, -118.15)"
"(37.804099999999998, -121.91200000000001)","(37.85, -121.95)"
"(34.538600000000002, -117.1773)","(34.55, -117.15)"
"(37.728400000000001, -121.42399999999999)","(37.75, -121.45)"
"(32.961799999999997, -117.2597)","(32.95, -117.25)"
"(37.317900000000002, -122.0478)","(37.35, -122.05)"
"(33.646999999999998, -117.9151)","(33.65, -117.95)"
"(37.1004, -120.2786)","(37.15, -120.25)"
"(33.500799999999998, -117.6587)","(33.55, -117.65)"
"(38.0991, -122.21040000000001)","(38.05, -122.25)"
"(36.831699999999998, -119.83200000000001)","(36.85, -119.85)"
"(34.104599999999998, -117.5873)","(34.15, -117.55)"
"(36.829099999999997, -121.52849999999999)","(36.85, -121.55)"
"(32.823099999999997, -116.73860000000001)","(32.85, -116.75)"
"(37.527200000000001, -121.9679)","(37.55, -121.95)"
"(33.934199999999997, -118.3325)","(33.95, -118.35)"
"(32.899999999999999, -117.2072)","(32.85, -117.25)"
"(33.929200000000002, -118.009)","(33.95, -118.05)"
